日期,人次
2017-10-18,2144226
2017-10-19,2172063
2017-10-20,2356359
2017-10-21,2068226
2017-10-22,1785042
2017-10-23,2074996
2017-10-24,2111185
2017-10-25,2145367
2017-10-26,2162298
2017-10-27,2376917
2017-10-28,2101552
2017-10-29,1769441
2017-10-30,2097111
2017-10-31,2101501
2017-11-01,2105486
2017-11-02,2106264
2017-11-03,2328514
2017-11-04,1978109
2017-11-05,1704858
2017-11-06,2072711
2017-11-07,2101238
2017-11-08,2137529
2017-11-09,2172539
2017-11-10,2376216
2017-11-11,2076404
2017-11-12,1765559
2017-11-13,2104741
2017-11-14,2125633
2017-11-15,2156293
2017-11-16,2184194
2017-11-17,2410237
2017-11-18,2059414
2017-11-19,1758552
2017-11-20,2153672
2017-11-21,2129187
2017-11-22,2149481
2017-11-23,2183164
2017-11-24,2395615
2017-11-25,1960549
2017-11-26,1701884
2017-11-27,2085581
2017-11-28,2146194
2017-11-29,2170914
2017-11-30,2173133
2017-12-01,2373228
2017-12-02,2104832
2017-12-03,1830090
2017-12-04,2095622
2017-12-05,2149946
2017-12-06,2196152
2017-12-07,2242648
2017-12-08,2480232
2017-12-09,2250016
2017-12-10,1990108
2017-12-11,2154264
2017-12-12,2206207
2017-12-13,2234195
2017-12-14,2262797
2017-12-15,2504886
2017-12-16,2281846
2017-12-17,1979509
2017-12-18,2205205
2017-12-19,2232123
2017-12-20,2283916
2017-12-21,2280225
2017-12-22,2496342
2017-12-23,2443486
2017-12-24,2033090
2017-12-25,2289712
2017-12-26,2238948
2017-12-27,2269483
2017-12-28,2290867
2017-12-29,2495729
2017-12-30,2136793
2017-12-31,2411552
2018-01-01,1892689
2018-01-02,2143920
2018-01-03,2170179
2018-01-04,2179256
2018-01-05,2388112
2018-01-06,1887214
2018-01-07,1493275
2018-01-08,2132115
2018-01-09,2156262
2018-01-10,2177632
2018-01-11,2182447
2018-01-12,2364811
2018-01-13,1930661
2018-01-14,1642983
2018-01-15,2093015
2018-01-16,2125305
2018-01-17,2141075
2018-01-18,2171228
2018-01-19,2436177
2018-01-20,1944338
2018-01-21,1663166
2018-01-22,2080574
2018-01-23,2134817
2018-01-24,2185452
2018-01-25,2203663
2018-01-26,2397134
2018-01-27,2105904
2018-01-28,1688931
2018-01-29,2150714
2018-01-30,2168182
2018-01-31,2191859
2018-02-01,2193056
2018-02-02,2337039
2018-02-03,1832740
2018-02-04,1566358
2018-02-05,2146219
2018-02-06,2222891
2018-02-07,2229789
2018-02-08,2296853
2018-02-09,2448571
2018-02-10,1983158
2018-02-11,1744779
2018-02-12,2228577
2018-02-13,2192695
2018-02-14,1986361
2018-02-15,828217
2018-02-16,1417686
2018-02-17,1455593
2018-02-18,1744535
2018-02-19,1766862
2018-02-20,1595586
2018-02-21,2050183
2018-02-22,2129778
2018-02-23,2314380
2018-02-24,2037183
2018-02-25,1677109
2018-02-26,2183458
2018-02-27,2347481
2018-02-28,1689125
2018-03-01,2208392
2018-03-02,2370392
2018-03-03,2189937
2018-03-04,1761625
2018-03-05,2126205
2018-03-06,2172158
2018-03-07,2208949
2018-03-08,2235146
2018-03-09,2421058
2018-03-10,2162086
2018-03-11,1851377
2018-03-12,2151276
2018-03-13,2192620
2018-03-14,2226631
2018-03-15,2243023
2018-03-16,2451701
2018-03-17,2129137
2018-03-18,1869209
2018-03-19,2160088
2018-03-20,2168999
2018-03-21,2208595
2018-03-22,2221631
2018-03-23,2416723
2018-03-24,2109650
2018-03-25,1746307
2018-03-26,2135526
2018-03-27,2182642
2018-03-28,2205127
2018-03-29,2223897
2018-03-30,2318964
2018-03-31,2232624
2018-04-01,1695484
2018-04-02,2070107
2018-04-03,2188299
2018-04-04,1696141
2018-04-05,1520974
2018-04-06,1692734
2018-04-07,1742112
2018-04-08,1643673
2018-04-09,2055139
2018-04-10,2109343
2018-04-11,2144625
2018-04-12,2145791
2018-04-13,2348241
2018-04-14,1986881
2018-04-15,1652114
2018-04-16,2103720
2018-04-17,2173083
2018-04-18,2176531
2018-04-19,2184243
2018-04-20,2369960
2018-04-21,2082936
2018-04-22,1759747
2018-04-23,2092302
2018-04-24,2121136
2018-04-25,2216644
2018-04-26,2233684
2018-04-27,2396756
2018-04-28,2070878
2018-04-29,1767055
2018-04-30,2172282
2018-05-01,1828508
2018-05-02,2148788
2018-05-03,2172154
2018-05-04,2399301
2018-05-05,2048164
2018-05-06,1749668
2018-05-07,2120575
2018-05-08,2146290
2018-05-09,2180203
2018-05-10,2204206
2018-05-11,2398781
2018-05-12,1937126
2018-05-13,1613316
2018-05-14,2088620
2018-05-15,2121251
2018-05-16,2135883
2018-05-17,2149161
2018-05-18,2391488
2018-05-19,2026255
2018-05-20,1756784
2018-05-21,2089793
2018-05-22,2129475
2018-05-23,2130474
2018-05-24,2171405
2018-05-25,2375365
2018-05-26,2134084
2018-05-27,1762692
2018-05-28,2113232
2018-05-29,2118604
2018-05-30,2134324
2018-05-31,2148166
2018-06-01,2362724
2018-06-02,1923709
2018-06-03,1646979
2018-06-04,2062050
2018-06-05,2145610
2018-06-06,2171932
2018-06-07,2205994
2018-06-08,2385584
2018-06-09,2073045
2018-06-10,1678383
2018-06-11,2108424
2018-06-12,2166091
2018-06-13,2155274
2018-06-14,2169934
2018-06-15,2370914
2018-06-16,1834654
2018-06-17,1649000
2018-06-18,1291020
2018-06-19,2126737
2018-06-20,2143658
2018-06-21,2165567
2018-06-22,2298393
2018-06-23,1877736
2018-06-24,1559357
2018-06-25,2057797
2018-06-26,2118838
2018-06-27,2152176
2018-06-28,2200740
2018-06-29,2411810
2018-06-30,1940989
2018-07-01,1644710
2018-07-02,2097433
2018-07-03,2120848
2018-07-04,2145425
2018-07-05,2171399
2018-07-06,2332469
2018-07-07,1935216
2018-07-08,1676935
2018-07-09,2152933
2018-07-10,1707906
2018-07-11,1480662
2018-07-12,2194433
2018-07-13,2368328
2018-07-14,1955678
2018-07-15,1674781
2018-07-16,2110504
2018-07-17,2162029
2018-07-18,2180684
2018-07-19,2181773
2018-07-20,2320939
2018-07-21,1895913
2018-07-22,1640375
2018-07-23,2092905
2018-07-24,2115266
2018-07-25,2157178
2018-07-26,2178010
2018-07-27,2294189
2018-07-28,1987257
2018-07-29,1682360
2018-07-30,2080974
2018-07-31,2138606
