時段,進站,人次
2,大橋頭站,949
2,大湖公園,158
2,大直,988
2,奇岩,1338
2,小南門,221
2,小碧潭,0
2,市政府,56527
2,幸福,139
2,府中,2213
2,後山埤,2135
2,徐匯中學,684
2,復興崗,134
2,忠孝復興,11953
2,忠孝敦化,15906
2,忠孝新生,5173
2,忠義,77
2,文德,306
2,新北投,2
2,新北產業園區,598
2,新埔,1477
2,新埔民生,154
2,新店,518
2,新店區公所,547
2,新莊,755
2,昆陽,718
2,明德,421
2,景安,941
2,景平,100
2,景美,912
2,木柵,265
2,東湖,387
2,東門,2748
2,松山,7979
2,松山機場,168
2,松江南京,2121
2,板新,99
2,橋和,42
2,民權西路,1356
2,永安市場,1175
2,永寧,519
2,永春,9608
2,江子翠,1184
2,海山,736
2,淡水,2874
2,港墘,597
2,石牌,1273
2,秀朗橋,133
2,科技大樓,1289
2,竹圍,561
2,紅樹林,1300
2,芝山,1328
2,菜寮,613
2,萬芳社區,151
2,萬芳醫院,405
2,萬隆,565
2,葫洲,304
2,蘆洲,755
2,行天宮,1675
2,西湖,648
2,西門,12220
2,象山,30860
2,輔大,590
2,辛亥,293
2,迴龍,683
2,關渡,436
2,雙連,1273
2,頂埔,456
2,頂溪,1982
2,頭前庄,459
2,麟光,770
2,龍山寺,1433
3,BL板橋,1631
3,Y板橋,231
3,七張,410
3,三和國中,472
3,三民高中,419
3,三重,1306
3,三重國小,456
3,中原,33
3,中和,98
3,中山,2496
3,中山國中,558
3,中山國小,1237
3,中正紀念堂,926
3,丹鳳,305
3,亞東醫院,495
3,信義安和,7750
3,先嗇宮,121
3,內湖,349
3,公館,2328
3,六張犁,1840
3,劍南路,1821
3,劍潭,1535
3,動物園,496
3,北投,611
3,北門,1530
3,十四張,37
3,南京三民,2011
3,南京復興,2416
3,南勢角,594
3,南港,425
3,南港展覽館,632
3,南港軟體園區,68
3,古亭,1331
3,台北101/世貿,19494
3,台北小巨蛋,1273
3,台北橋,822
3,台北車站,10802
3,台大醫院,327
3,台電大樓,848
3,唭哩岸,185
3,善導寺,884
3,國父紀念館,6950
3,圓山,1415
3,土城,204
3,士林,1084
3,大坪林,576
3,大安,2391
3,大安森林公園,787
3,大橋頭站,617
3,大湖公園,88
3,大直,591
3,奇岩,199
3,小南門,175
3,小碧潭,0
3,市政府,19700
3,幸福,91
3,府中,1467
3,後山埤,957
3,徐匯中學,463
3,復興崗,88
3,忠孝復興,5628
3,忠孝敦化,8732
3,忠孝新生,2024
3,忠義,60
3,文德,201
3,新北投,0
3,新北產業園區,525
3,新埔,865
3,新埔民生,65
3,新店,315
3,新店區公所,347
3,新莊,480
3,昆陽,448
3,明德,299
3,景安,582
3,景平,68
3,景美,617
3,木柵,131
3,東湖,219
3,東門,1040
3,松山,2982
3,松山機場,83
3,松江南京,1411
3,板新,57
3,橋和,16
3,民權西路,893
3,永安市場,800
3,永寧,174
3,永春,2575
3,江子翠,778
3,海山,460
3,淡水,1431
3,港墘,306
3,石牌,789
3,秀朗橋,52
3,科技大樓,809
3,竹圍,313
3,紅樹林,799
3,芝山,774
3,菜寮,393
3,萬芳社區,91
3,萬芳醫院,276
3,萬隆,356
3,葫洲,209
3,蘆洲,379
3,行天宮,1006
3,西湖,362
3,西門,9288
3,象山,7467
3,輔大,364
3,辛亥,91
3,迴龍,342
3,關渡,253
3,雙連,961
3,頂埔,183
3,頂溪,1448
3,頭前庄,214
3,麟光,330
3,龍山寺,919
4,BL板橋,832
4,Y板橋,84
4,七張,323
4,三和國中,352
4,三民高中,298
4,三重,351
4,三重國小,329
4,中原,46
4,中和,87
4,中山,1761
4,中山國中,359
4,中山國小,972
4,中正紀念堂,628
4,丹鳳,203
4,亞東醫院,360
4,信義安和,3090
4,先嗇宮,69
4,內湖,236
4,公館,2014
4,六張犁,911
4,劍南路,864
4,劍潭,902
4,動物園,144
4,北投,524
4,北門,444
4,十四張,18
4,南京三民,1335
4,南京復興,1871
4,南勢角,531
4,南港,248
4,南港展覽館,440
4,南港軟體園區,35
4,古亭,1151
4,台北101/世貿,7880
4,台北小巨蛋,721
4,台北橋,593
4,台北車站,4204
4,台大醫院,239
4,台電大樓,619
4,唭哩岸,141
4,善導寺,592
4,國父紀念館,3057
4,圓山,1430
4,土城,150
4,士林,743
4,大坪林,379
4,大安,1098
4,大安森林公園,544
4,大橋頭站,410
4,大湖公園,69
4,大直,346
4,奇岩,112
4,小南門,122
4,小碧潭,0
4,市政府,9570
