西元日期,星期,是否放假,備註
20170922,五,False,無特別
20170923,六,True,無特別
20170924,日,True,無特別
20170925,一,False,無特別
20170926,二,False,無特別
20170927,三,False,無特別
20170928,四,False,無特別
20170929,五,False,無特別
20170930,六,False,調整上班
20171001,日,True,無特別
20171002,一,False,無特別
20171003,二,False,無特別
20171004,三,True,中秋節
20171005,四,False,無特別
20171006,五,False,無特別
20171007,六,True,無特別
20171008,日,True,無特別
20171009,一,True,調整放假
20171010,二,True,國慶日
20171011,三,False,無特別
20171012,四,False,無特別
20171013,五,False,無特別
20171014,六,True,無特別
20171015,日,True,無特別
20171016,一,False,無特別
20171017,二,False,無特別
20171018,三,False,無特別
20171019,四,False,無特別
20171020,五,False,無特別
20171021,六,True,無特別
20171022,日,True,無特別
20171023,一,False,無特別
20171024,二,False,無特別
20171025,三,False,無特別
20171026,四,False,無特別
20171027,五,False,無特別
20171028,六,True,無特別
20171029,日,True,無特別
20171030,一,False,無特別
20171031,二,False,無特別
20171101,三,False,無特別
20171102,四,False,無特別
20171103,五,False,無特別
20171104,六,True,無特別
20171105,日,True,無特別
20171106,一,False,無特別
20171107,二,False,無特別
20171108,三,False,無特別
20171109,四,False,無特別
20171110,五,False,無特別
20171111,六,True,無特別
20171112,日,True,無特別
20171113,一,False,無特別
20171114,二,False,無特別
20171115,三,False,無特別
20171116,四,False,無特別
20171117,五,False,無特別
20171118,六,True,無特別
20171119,日,True,無特別
20171120,一,False,無特別
20171121,二,False,無特別
20171122,三,False,無特別
20171123,四,False,無特別
20171124,五,False,無特別
20171125,六,True,無特別
20171126,日,True,無特別
20171127,一,False,無特別
20171128,二,False,無特別
20171129,三,False,無特別
20171130,四,False,無特別
20171201,五,False,無特別
20171202,六,True,無特別
20171203,日,True,無特別
20171204,一,False,無特別
20171205,二,False,無特別
20171206,三,False,無特別
20171207,四,False,無特別
20171208,五,False,無特別
20171209,六,True,無特別
20171210,日,True,無特別
20171211,一,False,無特別
20171212,二,False,無特別
20171213,三,False,無特別
20171214,四,False,無特別
20171215,五,False,無特別
20171216,六,True,無特別
20171217,日,True,無特別
20171218,一,False,無特別
20171219,二,False,無特別
20171220,三,False,無特別
20171221,四,False,無特別
20171222,五,False,無特別
20171223,六,True,無特別
20171224,日,True,無特別
20171225,一,False,無特別
20171226,二,False,無特別
20171227,三,False,無特別
20171228,四,False,無特別
20171229,五,False,無特別
20171230,六,True,無特別
20171231,日,True,無特別
20180101,一,True,開國紀念日
20180102,二,False,無特別
20180103,三,False,無特別
20180104,四,False,無特別
20180105,五,False,無特別
20180106,六,True,無特別
20180107,日,True,無特別
20180108,一,False,無特別
20180109,二,False,無特別
20180110,三,False,無特別
20180111,四,False,無特別
20180112,五,False,無特別
20180113,六,True,無特別
20180114,日,True,無特別
20180115,一,False,無特別
20180116,二,False,無特別
20180117,三,False,無特別
20180118,四,False,無特別
20180119,五,False,無特別
20180120,六,True,無特別
20180121,日,True,無特別
20180122,一,False,無特別
20180123,二,False,無特別
20180124,三,False,無特別
20180125,四,False,無特別
20180126,五,False,無特別
20180127,六,True,無特別
20180128,日,True,無特別
20180129,一,False,無特別
20180130,二,False,無特別
20180131,三,False,無特別
20180201,四,False,無特別
20180202,五,False,無特別
20180203,六,True,無特別
20180204,日,True,無特別
20180205,一,False,無特別
20180206,二,False,無特別
20180207,三,False,無特別
20180208,四,False,無特別
20180209,五,False,無特別
20180210,六,True,無特別
20180211,日,True,無特別
20180212,一,False,無特別
20180213,二,False,無特別
20180214,三,False,無特別
20180215,四,True,農曆除夕
20180216,五,True,春節
20180217,六,True,春節
20180218,日,True,春節
20180219,一,True,補假
20180220,二,True,補假
20180221,三,False,無特別
20180222,四,False,無特別
20180223,五,False,無特別
20180224,六,True,無特別
20180225,日,True,無特別
20180226,一,False,無特別
20180227,二,False,無特別
20180228,三,True,和平紀念日
20180301,四,False,無特別
20180302,五,False,無特別
20180303,六,True,無特別
20180304,日,True,無特別
20180305,一,False,無特別
20180306,二,False,無特別
20180307,三,False,無特別
20180308,四,False,無特別
20180309,五,False,無特別
20180310,六,True,無特別
20180311,日,True,無特別
20180312,一,False,無特別
20180313,二,False,無特別
20180314,三,False,無特別
20180315,四,False,無特別
20180316,五,False,無特別
20180317,六,True,無特別
20180318,日,True,無特別
20180319,一,False,無特別
20180320,二,False,無特別
20180321,三,False,無特別
20180322,四,False,無特別
20180323,五,False,無特別
20180324,六,True,無特別
20180325,日,True,無特別
20180326,一,False,無特別
20180327,二,False,無特別
20180328,三,False,無特別
20180329,四,False,無特別
20180330,五,False,無特別
20180331,六,False,調整上班
20180401,日,True,無特別
20180402,一,False,無特別
20180403,二,False,無特別
20180404,三,True,兒童節
20180405,四,True,民族掃墓節
20180406,五,True,調整放假
20180407,六,True,無特別
20180408,日,True,無特別
20180409,一,False,無特別
20180410,二,False,無特別
20180411,三,False,無特別
20180412,四,False,無特別
20180413,五,False,無特別
20180414,六,True,無特別
20180415,日,True,無特別
20180416,一,False,無特別
20180417,二,False,無特別
20180418,三,False,無特別
20180419,四,False,無特別
20180420,五,False,無特別
20180421,六,True,無特別
20180422,日,True,無特別
20180423,一,False,無特別
20180424,二,False,無特別
20180425,三,False,無特別
20180426,四,False,無特別
20180427,五,False,無特別
20180428,六,True,無特別
20180429,日,True,無特別
20180430,一,False,無特別
20180501,二,False,無特別
20180502,三,False,無特別
20180503,四,False,無特別
20180504,五,False,無特別
20180505,六,True,無特別
20180506,日,True,無特別
20180507,一,False,無特別
20180508,二,False,無特別
20180509,三,False,無特別
20180510,四,False,無特別
20180511,五,False,無特別
20180512,六,True,無特別
20180513,日,True,無特別
20180514,一,False,無特別
20180515,二,False,無特別
20180516,三,False,無特別
20180517,四,False,無特別
20180518,五,False,無特別
20180519,六,True,無特別
20180520,日,True,無特別
20180521,一,False,無特別
20180522,二,False,無特別
20180523,三,False,無特別
20180524,四,False,無特別
20180525,五,False,無特別
20180526,六,True,無特別
20180527,日,True,無特別
20180528,一,False,無特別
20180529,二,False,無特別
20180530,三,False,無特別
20180531,四,False,無特別
20180601,五,False,無特別
20180602,六,True,無特別
20180603,日,True,無特別
20180604,一,False,無特別
20180605,二,False,無特別
20180606,三,False,無特別
20180607,四,False,無特別
20180608,五,False,無特別
20180609,六,True,無特別
20180610,日,True,無特別
20180611,一,False,無特別
20180612,二,False,無特別
20180613,三,False,無特別
20180614,四,False,無特別
20180615,五,False,無特別
20180616,六,True,無特別
20180617,日,True,無特別
20180618,一,True,端午節
20180619,二,False,無特別
20180620,三,False,無特別
20180621,四,False,無特別
20180622,五,False,無特別
20180623,六,True,無特別
20180624,日,True,無特別
20180625,一,False,無特別
20180626,二,False,無特別
20180627,三,False,無特別
20180628,四,False,無特別
20180629,五,False,無特別
20180630,六,True,無特別
20180701,日,True,無特別
20180702,一,False,無特別
20180703,二,False,無特別
20180704,三,False,無特別
20180705,四,False,無特別
20180706,五,False,無特別
20180707,六,True,無特別
20180708,日,True,無特別
20180709,一,False,無特別
20180710,二,False,無特別
20180711,三,False,無特別
20180712,四,False,無特別
20180713,五,False,無特別
20180714,六,True,無特別
20180715,日,True,無特別
20180716,一,False,無特別
20180717,二,False,無特別
20180718,三,False,無特別
20180719,四,False,無特別
20180720,五,False,無特別
20180721,六,True,無特別
20180722,日,True,無特別
20180723,一,False,無特別
20180724,二,False,無特別
20180725,三,False,無特別
20180726,四,False,無特別
20180727,五,False,無特別
20180728,六,True,無特別
20180729,日,True,無特別
20180730,一,False,無特別
20180731,二,False,無特別
20180801,三,False,無特別
20180802,四,False,無特別
20180803,五,False,無特別
20180804,六,True,無特別
20180805,日,True,無特別
20180806,一,False,無特別
20180807,二,False,無特別
20180808,三,False,無特別
20180809,四,False,無特別
20180810,五,False,無特別
20180811,六,True,無特別
20180812,日,True,無特別
20180813,一,False,無特別
20180814,二,False,無特別
20180815,三,False,無特別
20180816,四,False,無特別
20180817,五,False,無特別
20180818,六,True,無特別
20180819,日,True,無特別
20180820,一,False,無特別
20180821,二,False,無特別
20180822,三,False,無特別
20180823,四,False,無特別
20180824,五,False,無特別
20180825,六,True,無特別
20180826,日,True,無特別
20180827,一,False,無特別
20180828,二,False,無特別
20180829,三,False,無特別
20180830,四,False,無特別
20180831,五,False,無特別
20180901,六,True,無特別
20180902,日,True,無特別
20180903,一,False,無特別
20180904,二,False,無特別
20180905,三,False,無特別
20180906,四,False,無特別
20180907,五,False,無特別
20180908,六,True,無特別
20180909,日,True,無特別
20180910,一,False,無特別
20180911,二,False,無特別
20180912,三,False,無特別
20180913,四,False,無特別
20180914,五,False,無特別
20180915,六,True,無特別
20180916,日,True,無特別
20180917,一,False,無特別
20180918,二,False,無特別
20180919,三,False,無特別
20180920,四,False,無特別
20180921,五,False,無特別
20180922,六,True,無特別
20180923,日,True,無特別
20180924,一,True,中秋節
20180925,二,False,無特別
20180926,三,False,無特別
20180927,四,False,無特別
20180928,五,False,無特別
20180929,六,True,無特別
20180930,日,True,無特別
20181001,一,False,無特別
20181002,二,False,無特別
20181003,三,False,無特別
20181004,四,False,無特別
20181005,五,False,無特別
20181006,六,True,無特別
20181007,日,True,無特別
20181008,一,False,無特別
20181009,二,False,無特別
20181010,三,True,國慶日
20181011,四,False,無特別
20181012,五,False,無特別
20181013,六,True,無特別
20181014,日,True,無特別
20181015,一,False,無特別
20181016,二,False,無特別
20181017,三,False,無特別
20181018,四,False,無特別
20181019,五,False,無特別
20181020,六,True,無特別
20181021,日,True,無特別
20181022,一,False,無特別
20181023,二,False,無特別
20181024,三,False,無特別
20181025,四,False,無特別
20181026,五,False,無特別
20181027,六,True,無特別
20181028,日,True,無特別
20181029,一,False,無特別
20181030,二,False,無特別
20181031,三,False,無特別
20181101,四,False,無特別
20181102,五,False,無特別
20181103,六,True,無特別
20181104,日,True,無特別
20181105,一,False,無特別
20181106,二,False,無特別
20181107,三,False,無特別
20181108,四,False,無特別
20181109,五,False,無特別
20181110,六,True,無特別
20181111,日,True,無特別
20181112,一,False,無特別
20181113,二,False,無特別
20181114,三,False,無特別
20181115,四,False,無特別
20181116,五,False,無特別
20181117,六,True,無特別
20181118,日,True,無特別
20181119,一,False,無特別
20181120,二,False,無特別
20181121,三,False,無特別
20181122,四,False,無特別
20181123,五,False,無特別
20181124,六,True,無特別
20181125,日,True,無特別
20181126,一,False,無特別
20181127,二,False,無特別
20181128,三,False,無特別
20181129,四,False,無特別
20181130,五,False,無特別
20181201,六,True,無特別
20181202,日,True,無特別
20181203,一,False,無特別
20181204,二,False,無特別
20181205,三,False,無特別
20181206,四,False,無特別
20181207,五,False,無特別
20181208,六,True,無特別
20181209,日,True,無特別
20181210,一,False,無特別
20181211,二,False,無特別
20181212,三,False,無特別
20181213,四,False,無特別
20181214,五,False,無特別
20181215,六,True,無特別
20181216,日,True,無特別
20181217,一,False,無特別
20181218,二,False,無特別
20181219,三,False,無特別
20181220,四,False,無特別
20181221,五,False,無特別
20181222,六,False,調整上班
20181223,日,True,無特別
20181224,一,False,無特別
20181225,二,False,無特別
20181226,三,False,無特別
20181227,四,False,無特別
20181228,五,False,無特別
20181229,六,True,無特別
20181230,日,True,無特別
20181231,一,True,調整放假
20200101,三,True,開國紀念日
20200102,四,False,無特別
20200103,五,False,無特別
20200104,六,True,無特別
20200105,日,True,無特別
20200106,一,False,無特別
20200107,二,False,無特別
20200108,三,False,無特別
20200109,四,False,無特別
20200110,五,False,無特別
20200111,六,True,無特別
20200112,日,True,無特別
20200113,一,False,無特別
20200114,二,False,無特別
20200115,三,False,無特別
20200116,四,False,無特別
20200117,五,False,無特別
20200118,六,True,無特別
20200119,日,True,無特別
20200120,一,False,無特別
20200121,二,False,無特別
20200122,三,False,無特別
20200123,四,True,調整放假
20200124,五,True,農曆除夕
20200125,六,True,春節
20200126,日,True,春節
20200127,一,True,春節
20200128,二,True,補假
20200129,三,True,補假
20200130,四,False,無特別
20200131,五,False,無特別
20200201,六,True,無特別
20200202,日,True,無特別
20200203,一,False,無特別
20200204,二,False,無特別
20200205,三,False,無特別
20200206,四,False,無特別
20200207,五,False,無特別
20200208,六,True,無特別
20200209,日,True,無特別
20200210,一,False,無特別
20200211,二,False,無特別
20200212,三,False,無特別
20200213,四,False,無特別
20200214,五,False,無特別
20200215,六,False,調整上班
20200216,日,True,無特別
20200217,一,False,無特別
20200218,二,False,無特別
20200219,三,False,無特別
20200220,四,False,無特別
20200221,五,False,無特別
20200222,六,True,無特別
20200223,日,True,無特別
20200224,一,False,無特別
20200225,二,False,無特別
20200226,三,False,無特別
20200227,四,False,無特別
20200228,五,True,和平紀念日
20200229,六,True,無特別
20200301,日,True,無特別
20200302,一,False,無特別
20200303,二,False,無特別
20200304,三,False,無特別
20200305,四,False,無特別
20200306,五,False,無特別
20200307,六,True,無特別
20200308,日,True,無特別
20200309,一,False,無特別
20200310,二,False,無特別
20200311,三,False,無特別
20200312,四,False,無特別
20200313,五,False,無特別
20200314,六,True,無特別
20200315,日,True,無特別
20200316,一,False,無特別
20200317,二,False,無特別
20200318,三,False,無特別
20200319,四,False,無特別
20200320,五,False,無特別
20200321,六,True,無特別
20200322,日,True,無特別
20200323,一,False,無特別
20200324,二,False,無特別
20200325,三,False,無特別
20200326,四,False,無特別
20200327,五,False,無特別
20200328,六,True,無特別
20200329,日,True,無特別
20200330,一,False,無特別
20200331,二,False,無特別
20200401,三,False,無特別
20200402,四,True,補假
20200403,五,True,放假
20200404,六,True,兒童節及民族掃墓節
20200405,日,True,無特別
20200406,一,False,無特別
20200407,二,False,無特別
20200408,三,False,無特別
20200409,四,False,無特別
20200410,五,False,無特別
20200411,六,True,無特別
20200412,日,True,無特別
20200413,一,False,無特別
20200414,二,False,無特別
20200415,三,False,無特別
20200416,四,False,無特別
20200417,五,False,無特別
20200418,六,True,無特別
20200419,日,True,無特別
20200420,一,False,無特別
20200421,二,False,無特別
20200422,三,False,無特別
20200423,四,False,無特別
20200424,五,False,無特別
20200425,六,True,無特別
20200426,日,True,無特別
20200427,一,False,無特別
20200428,二,False,無特別
20200429,三,False,無特別
20200430,四,False,無特別
20200501,五,False,無特別
20200502,六,True,無特別
20200503,日,True,無特別
20200504,一,False,無特別
20200505,二,False,無特別
20200506,三,False,無特別
20200507,四,False,無特別
20200508,五,False,無特別
20200509,六,True,無特別
20200510,日,True,無特別
20200511,一,False,無特別
20200512,二,False,無特別
20200513,三,False,無特別
20200514,四,False,無特別
20200515,五,False,無特別
20200516,六,True,無特別
20200517,日,True,無特別
20200518,一,False,無特別
20200519,二,False,無特別
20200520,三,False,無特別
20200521,四,False,無特別
20200522,五,False,無特別
20200523,六,True,無特別
20200524,日,True,無特別
20200525,一,False,無特別
20200526,二,False,無特別
20200527,三,False,無特別
20200528,四,False,無特別
20200529,五,False,無特別
20200530,六,True,無特別
20200531,日,True,無特別
20200601,一,False,無特別
20200602,二,False,無特別
20200603,三,False,無特別
20200604,四,False,無特別
20200605,五,False,無特別
20200606,六,True,無特別
20200607,日,True,無特別
20200608,一,False,無特別
20200609,二,False,無特別
20200610,三,False,無特別
20200611,四,False,無特別
20200612,五,False,無特別
20200613,六,True,無特別
20200614,日,True,無特別
20200615,一,False,無特別
20200616,二,False,無特別
20200617,三,False,無特別
20200618,四,False,無特別
20200619,五,False,無特別
20200620,六,False,調整上班
20200621,日,True,無特別
20200622,一,False,無特別
20200623,二,False,無特別
20200624,三,False,無特別
20200625,四,True,端午節
20200626,五,True,調整放假
20200627,六,True,無特別
20200628,日,True,無特別
20200629,一,False,無特別
20200630,二,False,無特別
20200701,三,False,無特別
20200702,四,False,無特別
20200703,五,False,無特別
20200704,六,True,無特別
20200705,日,True,無特別
20200706,一,False,無特別
20200707,二,False,無特別
20200708,三,False,無特別
20200709,四,False,無特別
20200710,五,False,無特別
20200711,六,True,無特別
20200712,日,True,無特別
20200713,一,False,無特別
20200714,二,False,無特別
20200715,三,False,無特別
20200716,四,False,無特別
20200717,五,False,無特別
20200718,六,True,無特別
20200719,日,True,無特別
20200720,一,False,無特別
20200721,二,False,無特別
20200722,三,False,無特別
20200723,四,False,無特別
20200724,五,False,無特別
20200725,六,True,無特別
20200726,日,True,無特別
20200727,一,False,無特別
20200728,二,False,無特別
20200729,三,False,無特別
20200730,四,False,無特別
20200731,五,False,無特別
20200801,六,True,無特別
20200802,日,True,無特別
20200803,一,False,無特別
20200804,二,False,無特別
20200805,三,False,無特別
20200806,四,False,無特別
20200807,五,False,無特別
20200808,六,True,無特別
20200809,日,True,無特別
20200810,一,False,無特別
20200811,二,False,無特別
20200812,三,False,無特別
20200813,四,False,無特別
20200814,五,False,無特別
20200815,六,True,無特別
20200816,日,True,無特別
20200817,一,False,無特別
20200818,二,False,無特別
20200819,三,False,無特別
20200820,四,False,無特別
20200821,五,False,無特別
20200822,六,True,無特別
20200823,日,True,無特別
20200824,一,False,無特別
20200825,二,False,無特別
20200826,三,False,無特別
20200827,四,False,無特別
20200828,五,False,無特別
20200829,六,True,無特別
20200830,日,True,無特別
20200831,一,False,無特別
20200901,二,False,無特別
20200902,三,False,無特別
20200903,四,False,無特別
20200904,五,False,無特別
20200905,六,True,無特別
20200906,日,True,無特別
20200907,一,False,無特別
20200908,二,False,無特別
20200909,三,False,無特別
20200910,四,False,無特別
20200911,五,False,無特別
20200912,六,True,無特別
20200913,日,True,無特別
20200914,一,False,無特別
20200915,二,False,無特別
20200916,三,False,無特別
20200917,四,False,無特別
20200918,五,False,無特別
20200919,六,True,無特別
20200920,日,True,無特別
20200921,一,False,無特別
20200922,二,False,無特別
20200923,三,False,無特別
20200924,四,False,無特別
20200925,五,False,無特別
20200926,六,False,調整上班
20200927,日,True,無特別
20200928,一,False,無特別
20200929,二,False,無特別
20200930,三,False,無特別
20201001,四,True,中秋節
20201002,五,True,調整放假
20201003,六,True,無特別
20201004,日,True,無特別
20201005,一,False,無特別
20201006,二,False,無特別
20201007,三,False,無特別
20201008,四,False,無特別
20201009,五,True,補假
20201010,六,True,國慶日
20201011,日,True,無特別
20201012,一,False,無特別
20201013,二,False,無特別
20201014,三,False,無特別
20201015,四,False,無特別
20201016,五,False,無特別
20201017,六,True,無特別
20201018,日,True,無特別
20201019,一,False,無特別
20201020,二,False,無特別
20201021,三,False,無特別
20201022,四,False,無特別
20201023,五,False,無特別
