西元日期,星期,是否放假,備註
20200101,三,2,開國紀念日
20200102,四,0,
20200103,五,0,
20200104,六,2,
20200105,日,2,
20200106,一,0,
20200107,二,0,
20200108,三,0,
20200109,四,0,
20200110,五,0,
20200111,六,2,
20200112,日,2,
20200113,一,0,
20200114,二,0,
20200115,三,0,
20200116,四,0,
20200117,五,0,
20200118,六,2,
20200119,日,2,
20200120,一,0,
20200121,二,0,
20200122,三,0,
20200123,四,2,調整放假
20200124,五,2,農曆除夕
20200125,六,2,春節
20200126,日,2,春節
20200127,一,2,春節
20200128,二,2,補假
20200129,三,2,補假
20200130,四,0,
20200131,五,0,
20200201,六,2,
20200202,日,2,
20200203,一,0,
20200204,二,0,
20200205,三,0,
20200206,四,0,
20200207,五,0,
20200208,六,2,
20200209,日,2,
20200210,一,0,
20200211,二,0,
20200212,三,0,
20200213,四,0,
20200214,五,0,
20200215,六,0,調整上班
20200216,日,2,
20200217,一,0,
20200218,二,0,
20200219,三,0,
20200220,四,0,
20200221,五,0,
20200222,六,2,
20200223,日,2,
20200224,一,0,
20200225,二,0,
20200226,三,0,
20200227,四,0,
20200228,五,2,和平紀念日
20200229,六,2,
20200301,日,2,
20200302,一,0,
20200303,二,0,
20200304,三,0,
20200305,四,0,
20200306,五,0,
20200307,六,2,
20200308,日,2,
20200309,一,0,
20200310,二,0,
20200311,三,0,
20200312,四,0,
20200313,五,0,
20200314,六,2,
20200315,日,2,
20200316,一,0,
20200317,二,0,
20200318,三,0,
20200319,四,0,
20200320,五,0,
20200321,六,2,
20200322,日,2,
20200323,一,0,
20200324,二,0,
20200325,三,0,
20200326,四,0,
20200327,五,0,
20200328,六,2,
20200329,日,2,
20200330,一,0,
20200331,二,0,
20200401,三,0,
20200402,四,2,補假
20200403,五,2,放假
20200404,六,2,兒童節及民族掃墓節
20200405,日,2,
20200406,一,0,
20200407,二,0,
20200408,三,0,
20200409,四,0,
20200410,五,0,
20200411,六,2,
20200412,日,2,
20200413,一,0,
20200414,二,0,
20200415,三,0,
20200416,四,0,
20200417,五,0,
20200418,六,2,
20200419,日,2,
20200420,一,0,
20200421,二,0,
20200422,三,0,
20200423,四,0,
20200424,五,0,
20200425,六,2,
20200426,日,2,
20200427,一,0,
20200428,二,0,
20200429,三,0,
20200430,四,0,
20200501,五,0,
20200502,六,2,
20200503,日,2,
20200504,一,0,
20200505,二,0,
20200506,三,0,
20200507,四,0,
20200508,五,0,
20200509,六,2,
20200510,日,2,
20200511,一,0,
20200512,二,0,
20200513,三,0,
20200514,四,0,
20200515,五,0,
20200516,六,2,
20200517,日,2,
20200518,一,0,
20200519,二,0,
20200520,三,0,
20200521,四,0,
20200522,五,0,
20200523,六,2,
20200524,日,2,
20200525,一,0,
20200526,二,0,
20200527,三,0,
20200528,四,0,
20200529,五,0,
20200530,六,2,
20200531,日,2,
20200601,一,0,
20200602,二,0,
20200603,三,0,
20200604,四,0,
20200605,五,0,
20200606,六,2,
20200607,日,2,
20200608,一,0,
20200609,二,0,
20200610,三,0,
20200611,四,0,
20200612,五,0,
20200613,六,2,
20200614,日,2,
20200615,一,0,
20200616,二,0,
20200617,三,0,
20200618,四,0,
20200619,五,0,
20200620,六,0,調整上班
20200621,日,2,
20200622,一,0,
20200623,二,0,
20200624,三,0,
20200625,四,2,端午節
20200626,五,2,調整放假
20200627,六,2,
20200628,日,2,
20200629,一,0,
20200630,二,0,
20200701,三,0,
20200702,四,0,
20200703,五,0,
20200704,六,2,
20200705,日,2,
20200706,一,0,
20200707,二,0,
20200708,三,0,
20200709,四,0,
20200710,五,0,
20200711,六,2,
20200712,日,2,
20200713,一,0,
20200714,二,0,
20200715,三,0,
20200716,四,0,
20200717,五,0,
20200718,六,2,
20200719,日,2,
20200720,一,0,
20200721,二,0,
20200722,三,0,
20200723,四,0,
20200724,五,0,
20200725,六,2,
20200726,日,2,
20200727,一,0,
20200728,二,0,
20200729,三,0,
20200730,四,0,
20200731,五,0,
20200801,六,2,
20200802,日,2,
20200803,一,0,
20200804,二,0,
20200805,三,0,
20200806,四,0,
20200807,五,0,
20200808,六,2,
20200809,日,2,
20200810,一,0,
20200811,二,0,
20200812,三,0,
20200813,四,0,
20200814,五,0,
20200815,六,2,
20200816,日,2,
20200817,一,0,
20200818,二,0,
20200819,三,0,
20200820,四,0,
20200821,五,0,
20200822,六,2,
20200823,日,2,
20200824,一,0,
20200825,二,0,
20200826,三,0,
20200827,四,0,
20200828,五,0,
20200829,六,2,
20200830,日,2,
20200831,一,0,
20200901,二,0,
20200902,三,0,
20200903,四,0,
20200904,五,0,
20200905,六,2,
20200906,日,2,
20200907,一,0,
20200908,二,0,
20200909,三,0,
20200910,四,0,
20200911,五,0,
20200912,六,2,
20200913,日,2,
20200914,一,0,
20200915,二,0,
20200916,三,0,
20200917,四,0,
20200918,五,0,
20200919,六,2,
20200920,日,2,
20200921,一,0,
20200922,二,0,
20200923,三,0,
20200924,四,0,
20200925,五,0,
20200926,六,0,調整上班
20200927,日,2,
20200928,一,0,
20200929,二,0,
20200930,三,0,
20201001,四,2,中秋節
20201002,五,2,調整放假
20201003,六,2,
20201004,日,2,
20201005,一,0,
20201006,二,0,
20201007,三,0,
20201008,四,0,
20201009,五,2,補假
20201010,六,2,國慶日
20201011,日,2,
20201012,一,0,
20201013,二,0,
20201014,三,0,
20201015,四,0,
20201016,五,0,
20201017,六,2,
20201018,日,2,
20201019,一,0,
20201020,二,0,
20201021,三,0,
20201022,四,0,
20201023,五,0,
20201024,六,2,
20201025,日,2,
20201026,一,0,
20201027,二,0,
20201028,三,0,
20201029,四,0,
20201030,五,0,
20201031,六,2,
20201101,日,2,
20201102,一,0,
20201103,二,0,
20201104,三,0,
20201105,四,0,
20201106,五,0,
20201107,六,2,
20201108,日,2,
20201109,一,0,
20201110,二,0,
20201111,三,0,
20201112,四,0,
20201113,五,0,
20201114,六,2,
20201115,日,2,
20201116,一,0,
20201117,二,0,
20201118,三,0,
20201119,四,0,
20201120,五,0,
20201121,六,2,
20201122,日,2,
20201123,一,0,
20201124,二,0,
20201125,三,0,
20201126,四,0,
20201127,五,0,
20201128,六,2,
20201129,日,2,
20201130,一,0,
20201201,二,0,
20201202,三,0,
20201203,四,0,
20201204,五,0,
20201205,六,2,
20201206,日,2,
20201207,一,0,
20201208,二,0,
20201209,三,0,
20201210,四,0,
20201211,五,0,
20201212,六,2,
20201213,日,2,
20201214,一,0,
20201215,二,0,
20201216,三,0,
20201217,四,0,
20201218,五,0,
20201219,六,2,
20201220,日,2,
20201221,一,0,
20201222,二,0,
20201223,三,0,
20201224,四,0,
20201225,五,0,
20201226,六,2,
20201227,日,2,
20201228,一,0,
20201229,二,0,
20201230,三,0,
20201231,四,0,
